Activity,N_records,MAE_raw_bpm,Cov5_raw_%,Nwin_raw_total,MAE_single_bpm,Cov5_single_%,Nwin_single_total,MAE_dual_bpm,Cov5_dual_%,Nwin_dual_total
sit,1,0.7533001961893299,99.58333333333333,240,7.592557012602553,57.49999999999999,240,8.029267379509138,60.416666666666664,240
ALL,1,0.7533001961893299,99.58333333333333,240,7.592557012602553,57.49999999999999,240,8.029267379509138,60.416666666666664,240
