File,L_taps,mu,tau_v_samples,tau_q_samples,W_X,W_Y,W_Z,BPR_Single_dB,BPR_Dual_dB,BPR_gain_dB,MSE_BL_Single,MSE_BL_Dual,PCC_Single,PCC_Dual,Retention_Single_%,Retention_Dual_%,Retention_gain_pp
s10_sit.csv,1,0.05,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,2.8959050703801923,2.0030623089633894,-0.8928427614168029,0.0012939094540893893,0.0015892351510176299,0.8514755565459488,0.8271938976790477,100.0,100.0,0.0
s10_walk.csv,1,0.05,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,4.470325833460712,4.064152167728116,-0.40617366573259606,0.002388245929972687,0.0026223847633669015,0.8440037833184958,0.8473107255634066,100.0,100.0,0.0
s10_run.csv,1,0.05,4,-78,0.13081191421781935,0.5046881507884196,0.36449993499376104,3.8681692935809635,3.8286976248209075,-0.03947166876005603,0.005810474164737598,0.0058635244628984125,0.8061508504883387,0.8119684886698834,99.87937273823884,99.87937273823884,0.0
s10_sit.csv,16,0.05,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,1.3189285940684805,1.6392595468868563,0.32033095281837576,0.001860379451024207,0.0017280982823530096,0.7774435912216484,0.796967554910399,99.50331125827815,100.0,0.4966887417218544
s10_walk.csv,16,0.05,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,1.5442785690572578,4.411973479527209,2.867694910469951,0.004684721446306933,0.0024205512464419393,0.7927419881424496,0.8403516261603369,100.0,100.0,0.0
s10_run.csv,16,0.05,4,-78,0.13081191421781935,0.5046881507884196,0.36449993499376104,1.315030997150557,3.6649100802776777,2.349879083127121,0.010459848738779276,0.0060888811329363945,0.7623104629872164,0.8087176919305249,99.87937273823884,99.87937273823884,0.0
s10_sit.csv,64,0.05,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,2.298123000427019,3.347927061899047,1.0498040614720283,0.0014848483241035482,0.0011660084209102507,0.7986763584788639,0.8072369237261049,100.0,100.0,0.0
s10_walk.csv,64,0.05,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,1.01667664401612,5.561631778998493,4.544955134982373,0.005289857406493529,0.0018575839572564398,0.8106863366232795,0.8528250937009216,100.0,100.0,0.0
s10_run.csv,64,0.05,4,-78,0.13081191421781935,0.5046881507884196,0.36449993499376104,0.24089608703465237,3.4264668049041274,3.185570717869475,0.013394882095405784,0.00643253004501763,0.8169910220156629,0.8419770868526536,99.87937273823884,99.87937273823884,0.0
s10_sit.csv,128,0.05,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,2.2267954573022393,4.101512453649282,1.874716996347043,0.0015094364996677296,0.0009802642124195457,0.8115443331177407,0.8134776691317575,100.0,100.0,0.0
s10_walk.csv,128,0.05,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,2.3715883503407515,7.11294254753425,4.741354197193498,0.003872155545230424,0.001299622958393914,0.8406207834159346,0.8636074954524591,100.0,100.0,0.0
s10_run.csv,128,0.05,4,-78,0.13081191421781935,0.5046881507884196,0.36449993499376104,1.806795182664119,4.1790020124648395,2.3722068298007204,0.009340045365209831,0.005409141003492568,0.843714996569921,0.8564479581228178,99.87937273823884,99.87937273823884,0.0
s10_sit.csv,256,0.05,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,2.300331136984447,4.410957389487901,2.1106262525034545,0.0014840935564010348,0.0009128483902509523,0.8231691772457912,0.8252888117684483,100.0,100.0,0.0
s10_walk.csv,256,0.05,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,4.905116726744248,9.082971746188724,4.1778550194444755,0.0021607272892091803,0.0008256851135509177,0.8583171820137693,0.8664123596516312,100.0,100.0,0.0
s10_run.csv,256,0.05,4,-78,0.13081191421781935,0.5046881507884196,0.36449993499376104,4.107287662977587,5.243259930753261,1.1359722677756743,0.005499202820860032,0.004233528724113436,0.8690092787772279,0.8646130385273414,99.87937273823884,99.87937273823884,0.0
s10_sit.csv,1,0.1,-101,40,0.2325103371032325,0.33415286937873845,0.4333367935180291,4.853352393434537,5.102068110450217,0.2487157170156804,0.0008244401878923532,0.0007785519232387033,0.7379399639071154,0.7049467069241839,100.0,100.0,0.0
s10_walk.csv,1,0.1,23,150,0.2980700795884206,0.3509649602057897,0.3509649602057897,7.8292817288705985,5.604672827021192,-2.2246089018494066,0.0011020047248124542,0.0018392651706705062,0.7491877025965078,0.7307367454284721,100.0,100.0,0.0
s10_run.csv,1,0.1,4,-78,0.13081191421781935,0.5046881507884196,0.36449993499376104,7.331498052428159,5.276954406164878,-2.054543646263282,0.0026174518336433417,0.004200810233205132,0.7188291409657679,0.6953010898046799,99.87937273823884,99.87937273823884,0.0
