File,BPR_single,MSE_single,PCC_single,Ret_single,BPR_dual_real,MSE_dual_real,PCC_dual_real,Ret_dual_real,BPR_dual_const,MSE_dual_const,PCC_dual_const,Ret_dual_const,BPR_dual_ramp,MSE_dual_ramp,PCC_dual_ramp,Ret_dual_ramp,BPR_dual_random,MSE_dual_random,PCC_dual_random,Ret_dual_random,activity
s10_run.csv,15.473160255810745,64.70390407070853,0.43401374738524745,34.94558645707376,19.18067420459231,27.553647039228988,0.4332140657169519,28.053204353083434,20.214482023124187,21.71692387294154,0.4331885125288188,27.569528415961305,17.863937427212917,37.312364261224424,0.42433472503634634,27.9322853688029,16.49591149284119,51.12759472219282,0.4309320172950134,33.61547762998791,run
s10_sit.csv,15.435299562517692,30.271967005632295,0.387808445160486,23.013245033112582,20.936405508858048,8.529627133979098,0.38488605287490857,22.516556291390728,20.934776184104198,8.532827759470749,0.3848562874068367,22.516556291390728,20.63744707468779,9.137468444199536,0.38358321169003995,20.198675496688743,17.832606881032582,17.430502582348044,0.38490081688319444,22.350993377483444,sit
s10_walk.csv,8.475272513609651,504.3134243078426,0.3720101054128307,38.102409638554214,11.436288392976394,255.03450405384052,0.2505167749618251,29.66867469879518,20.311589143250167,33.04219316970017,0.42166495328538256,33.28313253012048,12.634086178922146,193.56158167441447,0.4163092674444615,33.8855421686747,18.715334788440376,47.71932603847138,0.41175513586306606,34.33734939759036,walk
s11_run.csv,11.95371922865842,447.94996072835517,0.2168726881069279,42.74691358024691,19.510171195114314,78.6292813236505,0.33555318626954683,40.74074074074074,19.52422742314497,78.37520384732244,0.3354058548094619,40.74074074074074,15.152037869100134,214.48535242238393,0.3199789471308996,41.82098765432099,19.202899536404672,84.39398067733133,0.3336187560259541,41.358024691358025,run
s11_sit.csv,8.179648663503356,399.9470184158489,0.523155479233395,61.43344709897611,20.688100356295823,22.4469476756413,0.2976830949186612,69.62457337883959,23.98722226706408,10.501349269639986,0.30205579851869396,77.81569965870307,19.88404318638962,27.012389990464236,0.30176903277960704,74.2320819112628,14.763921735480519,87.81630433707214,0.26335959172517126,48.80546075085324,sit
s11_walk.csv,16.373399180944944,207.1255577916511,0.1823788263725071,52.0979020979021,20.940841886206208,72.35847753350811,0.2551411422234401,48.95104895104895,21.310239819468816,66.45836110071485,0.26169475666413244,50.17482517482517,19.785132209435176,94.41921559746572,0.2532877295435467,48.95104895104895,17.934031734199568,144.60071342364978,0.24270083317077099,49.3006993006993,walk
s12_run.csv,7.0736788260477645,774.6668244405308,0.24886454777069383,39.04,18.990031171632623,49.82871905141936,0.3095305220073346,39.52,19.022474273922448,49.45787045286025,0.30874482977664724,39.52,13.014568065087932,197.25409754643684,0.30209797389054155,38.88,17.868950102278383,64.50417571172744,0.3058971233075921,38.08,run
s12_sit.csv,8.550248285847742,159.7276728537847,0.39913400789232434,15.280135823429541,12.512590411506254,64.1425101675624,0.38365632317048237,6.621392190152801,17.119117809158265,22.207169731760352,0.38173743727016196,6.451612903225806,17.040400554246,22.61335170858269,0.38093335218891855,6.281833616298812,14.702318325217716,38.74120816822001,0.3795086511582121,6.451612903225806,sit
s12_walk.csv,8.469494018360525,849.4301492093056,0.23271795256209143,51.904761904761905,20.085860532177513,58.545163089890636,0.29786950382122596,53.333333333333336,20.084411161560322,58.564704622968236,0.2978312435062846,53.333333333333336,14.24698431776104,224.58391154082895,0.31774510697372277,53.80952380952381,18.945184038954853,76.13049778673194,0.30050178418503776,52.53968253968254,walk
s13_run.csv,12.784838859850563,210.1565377898574,0.28267526727888403,55.240793201133144,24.009129264559846,15.85308778916816,0.3533676198764233,76.34560906515581,24.076912660843448,15.60757839369018,0.3532901444592485,76.06232294617564,20.400214368666532,36.39195226812032,0.34793398199006537,62.46458923512748,14.834403708819133,131.09508823029105,0.34713636904291756,58.07365439093484,run
